new_catalysts,best_predicted_activity,true_activity,Al/M,T,P,t,metal
CC(C)c1cccc(C(C)C)c1C[N+]1=Cc2ccccc2[O][Zr-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2C,0.8462716159172539,1195.720556,9400,60,8,1,40
Cc1cccc2c1[O][Hf-2]1([Cl])([Cl])([O]c3c(C)cccc3C=[N+]1c1cccc(F)c1)[N+](c1ccccc1)=C2,0.8461780707654596,1194.176236,6200,30,8,1,72
CCCCCC1=[N+](C)[Hf-2]2([Cl])([Cl])([O]c3ccccc3C=[N+]2c2ccccc2)[O]c2ccccc21,0.8461337754970356,1193.44567,9400,30,8,1,72
CCc1ccc2c(c1)[O][Hf-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1c1ccccc1)[N+](c1ccccc1)=C2,0.8455961150825122,1184.613535,9400,30,8,1,72
Cc1cc(C)c(-c2cc3c(cc2C)C=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]c4ccccc4C=[N+]2c2ccccc2)[O]3)c(C)c1,0.8449941237212549,1174.802176,9400,30,8,1,72
Cc1cc(C)c(-c2cc(C)c3c(c2)C=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]c4ccccc4C=[N+]2c2ccccc2)[O]3)c(C)c1,0.8442764440845277,1163.211439,9400,30,8,1,72
Cc1ccc2c(c1)[O][Hf-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1Cc1ccc(F)cc1)[N+](c1ccccc1)=C2,0.8440386632851645,1159.396486,6200,30,8,1,72
CCc1ccc2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1c1ccccc1)[O]2,0.8440208223570517,1159.110751,9400,30,8,1,72
Cc1cc(C)c2c(c1)C=[N+](C)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1c1ccccc1C1CCCCC1,0.8438853767112187,1156.943793,9400,50,8,1,40
Cc1ccc(C[N+]2=Cc3ccccc3[O][Hf-2]23([Cl])([Cl])[O]c2ccccc2C=[N+]3c2ccccc2)cc1,0.8435131869908231,1151.010067,9400,30,8,1,72
CC1(c2ccc(F)cc2)C=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]C1,0.8433866673709597,1148.999935,6200,60,8,1,72
CCCC1(C)CC=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]1,0.842806168327188,1139.821934,9400,60,8,1,40
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]c3ccccc3C=[N+]2Cc2c(C)c(C)c(C)c(C)c2C)[O]c2ccccc21,0.8422291390534518,1130.771449,9400,30,8,1,72
C[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccc(F)cc1C=[N+]2c1ccccc1,0.8420301262681937,1127.666704,6200,60,10,1,72
